location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20110129T0000,99.0,63.0,85.208336
20110130T0000,96.0,62.0,85.75
20110131T0000,97.0,69.0,83.083336
20110201T0000,87.0,64.0,72.291664
20110202T0000,72.0,64.0,67.791664
20110203T0000,91.0,57.0,75.541664
20110204T0000,92.0,59.0,75.458336
20110205T0000,81.0,62.0,73.166664
20110206T0000,97.0,60.0,81.041664
20110207T0000,98.0,49.0,69.125
20110208T0000,93.0,54.0,74.208336
20110209T0000,98.0,58.0,86.708336
20110210T0000,82.0,52.0,63.416668
20110211T0000,88.0,49.0,62.125
20110212T0000,80.0,57.0,66.958336
20110213T0000,90.0,71.0,81.75
20110214T0000,92.0,56.0,78.041664
20110215T0000,95.0,70.0,82.958336
20110216T0000,87.0,71.0,78.458336
20110217T0000,95.0,70.0,84.958336
20110218T0000,96.0,68.0,83.333336
20110219T0000,93.0,64.0,79.125
20110220T0000,95.0,73.0,90.083336
20110221T0000,97.0,73.0,87.75
20110222T0000,94.0,60.0,80.25
20110223T0000,98.0,45.0,68.875
20110224T0000,100.0,56.0,84.625
20110225T0000,100.0,78.0,87.583336
20110226T0000,97.0,60.0,83.125
20110227T0000,93.0,73.0,84.625
20110228T0000,96.0,58.0,80.625
20110301T0000,97.0,46.0,77.291664
20110302T0000,78.0,38.0,61.375
20110303T0000,97.0,55.0,72.041664
20110304T0000,99.0,61.0,79.958336
20110305T0000,93.0,61.0,80.208336
20110306T0000,96.0,53.0,77.25
20110307T0000,78.0,40.0,55.958332
20110308T0000,91.0,54.0,70.208336
20110309T0000,100.0,39.0,74.166664
20110310T0000,97.0,71.0,82.75
20110311T0000,89.0,58.0,75.291664
20110312T0000,96.0,42.0,68.5
20110313T0000,88.0,51.0,70.333336
20110314T0000,96.0,49.0,73.375
20110315T0000,92.0,48.0,71.583336
20110316T0000,100.0,58.0,81.458336
20110317T0000,97.0,74.0,90.625
20110318T0000,97.0,63.0,82.041664
20110319T0000,97.0,75.0,86.291664
20110320T0000,97.0,37.0,65.916664
20110321T0000,89.0,39.0,63.958332
20110322T0000,94.0,40.0,66.833336
20110323T0000,93.0,40.0,67.625
20110324T0000,100.0,43.0,69.875
20110325T0000,90.0,34.0,63.208332
20110326T0000,93.0,42.0,65.208336
20110327T0000,98.0,66.0,83.75
20110328T0000,97.0,66.0,80.875
20110329T0000,90.0,47.0,65.833336
20110330T0000,94.0,62.0,77.541664
20110331T0000,95.0,54.0,83.416664
20110401T0000,95.0,61.0,80.541664
20110402T0000,100.0,41.0,70.541664
20110403T0000,93.0,45.0,70.208336
20110404T0000,96.0,66.0,79.875
20110405T0000,78.0,45.0,60.083332
20110406T0000,90.0,44.0,62.833332
20110407T0000,100.0,47.0,73.666664
20110408T0000,100.0,52.0,75.625
20110409T0000,100.0,50.0,73.291664
20110410T0000,100.0,38.0,67.541664
20110411T0000,99.0,35.0,66.375
20110412T0000,96.0,42.0,73.583336
20110413T0000,95.0,36.0,57.041668
20110414T0000,66.0,41.0,51.333332
20110415T0000,93.0,38.0,61.0
20110416T0000,100.0,43.0,65.541664
20110417T0000,100.0,38.0,63.083332
20110418T0000,89.0,38.0,60.291668
20110419T0000,87.0,35.0,59.125
20110420T0000,89.0,41.0,61.375
20110421T0000,87.0,36.0,60.208332
20110422T0000,89.0,32.0,56.791668
20110423T0000,82.0,34.0,54.083332
20110424T0000,87.0,63.0,74.958336
20110425T0000,92.0,42.0,64.458336
20110426T0000,91.0,46.0,65.333336
20110427T0000,96.0,57.0,70.708336
20110428T0000,79.0,51.0,64.833336
20110429T0000,99.0,63.0,75.041664
20110430T0000,100.0,49.0,72.625
20110501T0000,100.0,51.0,72.458336
20110502T0000,100.0,51.0,71.791664
20110503T0000,96.0,50.0,72.166664
20110504T0000,93.0,39.0,61.75
20110505T0000,86.0,40.0,56.25
20110506T0000,84.0,47.0,61.875
20110507T0000,84.0,42.0,58.958332
20110508T0000,78.0,36.0,55.625
20110509T0000,77.0,47.0,61.041668
20110510T0000,81.0,57.0,67.541664
20110511T0000,88.0,49.0,68.583336
20110512T0000,96.0,68.0,77.75
20110513T0000,94.0,54.0,69.416664
20110514T0000,91.0,63.0,79.5
20110515T0000,93.0,60.0,75.125
20110516T0000,88.0,61.0,71.416664
20110517T0000,87.0,55.0,68.958336
20110518T0000,83.0,41.0,60.416668
20110519T0000,85.0,48.0,67.833336
20110520T0000,85.0,48.0,66.25
20110521T0000,76.0,52.0,63.166668
20110522T0000,81.0,60.0,71.625
20110523T0000,96.0,48.0,70.375
20110524T0000,81.0,51.0,64.75
20110525T0000,84.0,49.0,67.25
20110526T0000,92.0,48.0,66.75
20110527T0000,91.0,60.0,72.916664
20110528T0000,95.0,51.0,71.208336
20110529T0000,81.0,48.0,62.791668
20110530T0000,82.0,47.0,64.166664
20110531T0000,94.0,63.0,80.833336
20110601T0000,95.0,71.0,85.875
20110602T0000,96.0,55.0,73.833336
20110603T0000,96.0,55.0,71.083336
20110604T0000,97.0,62.0,76.791664
20110605T0000,89.0,55.0,71.416664
20110606T0000,94.0,61.0,75.083336
20110607T0000,95.0,53.0,76.041664
20110608T0000,94.0,77.0,83.625
20110609T0000,88.0,58.0,70.625
20110610T0000,89.0,51.0,71.708336
20110611T0000,90.0,58.0,73.25
20110612T0000,89.0,50.0,66.75
20110613T0000,95.0,64.0,80.291664
20110614T0000,90.0,65.0,77.083336
20110615T0000,97.0,62.0,78.416664
